Make,Model,Price,Location,Year,Mileage,Transmission,Color,Previous Ownership,URL
Honda,Fit,"KSh 1,449,000","Nairobi, Ridgeways, 3 hours ago",2018,,Automatic,Red,Foreign Used,https://jiji.co.ke/ridgeways/cars/honda-fit-2018-red-dTtZtNzi2dZXhWDfrJHpKOky.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=0
Isuzu,D-MAX,"KSh 1,445,000","Nairobi, Thome / Nairobi, 22 hours ago",2012,201649 km,Manual,White,Local Used,https://jiji.co.ke/thome/cars/isuzu-d-max-2012-white-oGKVWn0uVHgLeIip3W4P83BI.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=3
Toyota,Harrier,"KSh 1,440,000","Nairobi, Langata, 3 hours ago",2008,162000 km,Automatic,Black,Local Used,https://jiji.co.ke/mugumo-ini-langata/cars/toyota-harrier-2008-black-8FkGQkh1zd0avVsq3sfmymyv.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=6
Volkswagen,Golf,"KSh 1,440,000","Nairobi, Thome / Nairobi, 3 hours ago",2013,105000 km,Automatic,White,Local Used,https://jiji.co.ke/thome/cars/volkswagen-golf-2013-white-d0j8J6paXNAJLOqb2zd84Y23.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=9
Mazda,Demio,"KSh 1,440,000","Nairobi, Ridgeways, 6 hours ago",2018,,Automatic,Silver,Foreign Used,https://jiji.co.ke/ridgeways/cars/mazda-demio-2018-silver-zPcBmkk8eehRkPgu4qpukPPU.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=12
Honda,Fit,"KSh 1,435,000","Nairobi, Kilimani, 3 hours ago",2018,123000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/honda-fit-sport-2018-pearl-f7L8FLqjNZSkPJNlOYobI9qM.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=15
Subaru,Forester,"KSh 1,430,000","Nairobi, Kilimani, 26 min ago",2011,145000 km,Automatic,Red,Local Used,https://jiji.co.ke/kilimani/cars/subaru-forester-2011-red-3RSAxuGIYfHWP3R4Chu5HlOS.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=18
Nissan,Note,"KSh 1,430,000","Mombasa, Mombasa CBD, 57 min ago",2017,65238 km,Automatic,White,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-note-2017-white-3vqir16XDuDknVUG2DAY7uTd.html?page=2&pos=3&cur_pos=3&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=22
Subaru,Forester,"KSh 1,430,000","Nairobi, Ridgeways, 4 min ago",2010,145396 km,Automatic,Silver,Local Used,https://jiji.co.ke/ridgeways/cars/subaru-forester-2010-silver-7YeEmOO0rJwQeaoT3ay4sniG.html?page=2&pos=6&cur_pos=6&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=25
Volkswagen,Golf,"KSh 1,430,000","Mombasa, Mombasa CBD, 1 hour ago",2014,79500 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/volkswagen-golf-2014-black-pMzpOHO0k3YApu1QTfExMSrU.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=27
Mazda,Axela,"KSh 1,430,000","Mombasa, Ganjoni, 1 hour ago",2014,121000 km,Automatic,,Foreign Used,https://jiji.co.ke/ganjoni/cars/mazda-axela-2014-sv-premium-red-xiUqyIcwEjzlJhFPmgZSH6OS.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=30
Nissan,Teana,"KSh 1,430,000","Mombasa, Mombasa CBD, 29 min ago",2015,,Automatic,Green,Local Used,https://jiji.co.ke/mombasa-cbd/cars/nissan-teana-2015-green-m6eyq2jWgjoPB6uL07QMhAw1.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=33
Toyota,Noah,"KSh 1,430,000","Mombasa, Mombasa CBD, 1 hour ago",2014,102000 km,Automatic,,Local Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-noah-2-0-awd-7-seater-2014-black-cifWXgZBEOpjzNJRSOdWLlG8.html?page=2&pos=16&cur_pos=16&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=35
Honda,Fit,"KSh 1,430,000","Mombasa, Ganjoni, 8 min ago",2018,54200 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/ganjoni/cars/honda-fit-2018-silver-gfTyjufFS0aVmBKDT5ivzk4A.html?page=2&pos=19&cur_pos=19&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=38
Suzuki,Swift,"KSh 1,430,000","Mombasa, Mombasa CBD, 3 hours ago",2019,91000 km,Automatic,Red,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/suzuki-swift-sport-2019-red-8W4bK4pxFnsD8T3vMBa0WUtN.html?page=3&pos=2&cur_pos=2&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=41
Mazda,Demio,"KSh 1,430,000","Nairobi, Kilimani, 3 hours ago",2018,76000 km,Automatic,Blue,Foreign Used,https://jiji.co.ke/kilimani/cars/mazda-demio-2018-blue-kuMGJG2YUV8zgrGH0qxypJVs.html?page=3&pos=6&cur_pos=6&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=45
Honda,Fit,"KSh 1,430,000","Nairobi, Kilimani, 4 hours ago",2019,125000 km,Automatic,,Foreign Used,https://jiji.co.ke/kilimani/cars/honda-fit-ex-2019-blue-vXyb4DuW6gWxTeN6fm0QKoO.html?page=3&pos=9&cur_pos=9&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=48
Toyota,Probox,"KSh 1,430,000","Mombasa, Ganjoni, 3 hours ago",2018,117000 km,AMT,,Foreign Used,https://jiji.co.ke/ganjoni/cars/toyota-probox-1-5-f-4wd-2018-silver-CoEyjxYXfVMehWaoKLvQnUEZ.html?page=3&pos=13&cur_pos=13&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=52
Volkswagen,Tiguan,"KSh 1,430,000","Nairobi, Ridgeways, 6 min ago",2010,,Automatic,White,Local Used,https://jiji.co.ke/ridgeways/cars/volkswagen-tiguan-2010-white-32pxnJNNKzt9MLF4uLvFVQIM.html?page=3&pos=16&cur_pos=16&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=55
Volkswagen,Golf,"KSh 1,430,000","Nairobi, Kilimani, 7 min ago",2014,,Automatic,Red,Local Used,https://jiji.co.ke/kilimani/cars/volkswagen-golf-2014-red-wgLZLvSzYNBBDf3heIby0iaO.html?page=3&pos=18&cur_pos=18&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=57
Toyota,Probox,"KSh 1,430,000","Mombasa, Mombasa CBD, 1 hour ago",2018,98000 km,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/toyota-probox-2018-black-ku6skqu2ljD8QhonA7liW1hs.html?page=4&pos=1&cur_pos=1&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=60
Infiniti,Q50,"KSh 1,430,000","Nairobi, Thome / Nairobi, 3 hours ago",2014,198000 km,Automatic,Black,Local Used,https://jiji.co.ke/thome/cars/infiniti-q50-2014-black-hs6zixCkLTu032dZhRjoWerO.html?page=4&pos=4&cur_pos=4&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=63
Toyota,Auris,"KSh 1,430,000","Nairobi, Ngara, 26 min ago",2014,115866 km,Automatic,Silver,Local Used,https://jiji.co.ke/ngara/cars/toyota-auris-2014-silver-1nh89qNM8GZMJ5VkgNF0HKnX.html?page=4&pos=7&cur_pos=7&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=66
Honda,Fit,"KSh 1,430,000","Nairobi, Nairobi Central, 12 hours ago",2017,98123 km,Automatic,Silver,Local Used,https://jiji.co.ke/nairobi-central/cars/honda-fit-2017-silver-rAFmvIYkBtY68wh6XEWW61IV.html?page=4&pos=10&cur_pos=10&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=69
Mitsubishi,Outlander,"KSh 1,430,000","Kiambu, Kikuyu, 2 days ago",2013,,Automatic,Pearl,Local Used,https://jiji.co.ke/kikuyu/cars/mitsubishi-outlander-2013-pearl-g89QLLxiKFM3QbD8EJSSwX4e.html?page=4&pos=13&cur_pos=13&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=72
Toyota,Prius,"KSh 1,425,000","Nairobi, Nairobi Central, 3 hours ago",2015,98523 km,Automatic,Silver,Foreign Used,https://jiji.co.ke/nairobi-central/cars/toyota-prius-2015-silver-z796wAJNHlROnR4FaYT4T68a.html?page=4&pos=18&cur_pos=18&ads_per_page=20&ads_count=3951&lid=BSJIZTBJy8dAYd6t&indexPosition=77
