make,model,price,city,state,year,mileage,transmission,color,previous_ownership,url
Mercedes-Benz,GLS-Class,75000000.0,Nairobi,Nairobi Central,2022.0,,Automatic,Silver,Foreign Used,https://jiji.co.ke/nairobi-central/cars/mercedes-benz-gls-class-2022-silver-oUEyXiEiTExlB4eUwlV8bsgI.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=0
Bentley,Continental,49000000.0,Nairobi,Kilimani,2023.0,,Automatic,Black,Brand New,https://jiji.co.ke/kilimani/cars/new-bentley-continental-2023-black-8SUmtT3UEaR9vTYPV7piOXdD.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=3
Mercedes-Benz,G-Class,45000000.0,Mombasa,Mombasa CBD,2018.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-g-class-g-63-amg-4matic-2018-pearl-7rc4Jpt1VMZKSF6QHXsdXOig.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=6
Land Rover,Range Rover Vogue,44000000.0,Mombasa,Mombasa CBD,2023.0,,Automatic,Gray,Brand New,https://jiji.co.ke/mombasa-cbd/cars/new-land-rover-range-rover-vogue-2023-gray-tv16oqRxAvFIcwuKraU2rcHP.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=9
Mercedes-Benz,G-Class,41999999.0,Nairobi,Nairobi Central,2018.0,55000.0,Automatic,,Foreign Used,https://jiji.co.ke/nairobi-central/cars/mercedes-benz-g-class-g-63-amg-4matic-2018-white-hiBNhCCH4CQl5pwBCtOZ6EDZ.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=12
Mercedes-Benz,G-Class,39000000.0,Mombasa,Mombasa CBD,2019.0,40000.0,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-g-class-2019-black-hzjWsfgpcQevSzlOuISn5Xuh.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=15
Land Rover,Range Rover Vogue,38499999.0,Nairobi,Kilimani,2022.0,3200.0,Automatic,Gold,Foreign Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-vogue-2022-gold-ubOZtiqlTjzejQ9yUDscLHk7.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=18
Mercedes-Benz,G-Class,38000000.0,Mombasa,Mombasa CBD,2019.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-g-class-g-63-amg-4matic-2019-silver-5aXHEOlMmYaPZx6ad6CJPImN.html?page=2&pos=2&cur_pos=2&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=21
Mercedes-Benz,G-Class,37000000.0,Mombasa,Mombasa CBD,2018.0,,Automatic,,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/mercedes-benz-g-class-g-63-amg-4matic-2018-black-6aywMN3msHeLmMxPJ2jX9FOW.html?page=2&pos=5&cur_pos=5&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=24
Land Rover,Range Rover Vogue,36500000.0,Nairobi,Kilimani,2022.0,,Automatic,Gray,Brand New,https://jiji.co.ke/kilimani/cars/new-land-rover-range-rover-vogue-2022-gray-wCLZj5PAlQob2PpYlH8opgYx.html?page=2&pos=8&cur_pos=8&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=27
Lexus,LX,36000000.0,Mombasa,Mombasa CBD,2023.0,,Automatic,Gray,Brand New,https://jiji.co.ke/mombasa-cbd/cars/new-lexus-lx-2023-gray-82mtHSPdxJv4yCfxeP7WNNPl.html?page=2&pos=11&cur_pos=11&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=30
Lexus,LX,36000000.0,Mombasa,Mombasa CBD,2022.0,6082.0,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2022-black-byDozgbJBPuh3ViwlNX6C34Y.html?page=2&pos=14&cur_pos=14&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=33
Land Rover,Range Rover Vogue,35890000.0,Nairobi,Kilimani,2022.0,4000.0,Automatic,Black,Foreign Used,https://jiji.co.ke/kilimani/cars/land-rover-range-rover-vogue-2022-black-jNrT7hZhgvjzAlMyyrfzZlBJ.html?page=2&pos=17&cur_pos=17&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=36
Lexus,LX,35500000.0,Mombasa,Mombasa CBD,2019.0,,Automatic,Black,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2019-black-zR4RL9MACXCn4l7OWxDTnm9j.html?page=2&pos=20&cur_pos=20&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=39
Lexus,LX,35000000.0,Mombasa,Mombasa CBD,2022.0,,Automatic,Pearl,Foreign Used,https://jiji.co.ke/mombasa-cbd/cars/lexus-lx-2022-pearl-cLa2vhoBNPBzJeZXGx8jcvUI.html?page=3&pos=3&cur_pos=3&ads_per_page=20&ads_count=45343&lid=Uzs1_keMNpIWvdM3&indexPosition=42
